title	director	rating	votes	year	genre	gross	budget	run-time	actor1	actor1_rank	actor1_sex	actor2	actor2_rank	actor2_sex	actor3	actor3_rank	actor3_sex	actor4	actor4_rank	actor4_sex	actor5	actor5_rank	actor5_sex	actor6	actor6_rank	actor6_sex	plot
2 Guns (2013)	Baltasar Kormákur	6.7	159452	2013	Action	131940411	61000000	109	Doris Morgado	47	F	James Marsden	226	M	Paula Patton	259	F	Denzel Washington	322	M	Mark Wahlberg	398	M	Bill Paxton	2225	M	Robert Trench an undercover DEA agent takes advantage of gunman Michael Stigman's idea to rob a bank to bust him and a mob boss. However it proves too successful with much more money seized than anticipated with Trench's forces not stopping the getaway. Complicating things still more Stigman turns out to be a Naval Intelligence agent who shoots Trench and takes the money. The interservice debacle suddenly finds Trench and Stigman in a bloody web of corrupt clandestine rivalries as they are hunted blackmailed and isolated for the money on both sides of the law. Now the fugitives must work together to find a way out of this situation with no one to turn to but themselves.
Star Wars: The Clone Wars (2008)	Dave Filoni	5.8	42865	2008	Action	68282844	8500000	98	Matt Lanter	221	M	Samuel L. Jackson	581	M	Christopher Lee	616	M	Kevin Michael Richardson	5586	M	Anthony Daniels	6028	M	Dee Bradley Baker	6649	M	As the Clone Wars sweep through the galaxy the heroic Jedi Knights struggle to maintain order and restore peace.  More and more systems are falling prey to the forces of the dark side as the Galactic Republic slips further and further under the sway of the Separatists and their never-ending droid army. Anakin Skywalker and his Padawan learner Ahsoka Tano find themselves on a mission with far-reaching consequences one that brings them face-to-face with crime lord Jabba the Hutt. But Count Dooku and his sinister agents including the nefarious Asajj Ventress will stop at nothing to ensure that Anakin and Ahsoka fail at their quest. Meanwhile on the front lines of the Clone Wars Obi-Wan Kenobi and Master Yoda lead the massive clone army in a valiant effort to resist the forces of the dark side ...
Good Burger (1997)	Brian (I) Robbins	5.6	21106	1997	Comedy	23687907	9000000	95	Linda Cardellini	107	F	Carmen Electra	2287	F	Ron Lester	4212	M	Robert Wuhl	4247	M	Sinbad	4934	M	Kenan Thompson	5655	M	Dexter Reed a high-schooler is forced to get a summer job at a fast food restaurant called Good Burger after causing a car wreck by his school teacher Mr. Wheat. So Dexter must pay off his teacher's car by working very hard at Good Burger. Meanwhile things turned worse when Mondo Burger a mammoth fast-food chain opens across the street it looks like Good Burger is soon going to be history for good! Now it is up to Dexter and his new friend Ed the not-so bright cashier to save the day as they develop a delicious special secret sauce that Ed created brings hundreds of new customers to their door and makes their new competition desperate to steal the recipe and all of their customers.
The Good Doctor (2011/I)	Lance Daly	5.6	5218	2011	Drama	4106	6000000	91	Evan Peters	100	M	Riley Keough	639	F	J.K. Simmons	810	M	Orlando Bloom	1057	M	Taraji P. Henson	1560	F	Wade Williams	3052	M	Dr. Martin Blake who has spent his life looking for respect meets an 18-year-old patient named Diane suffering from a kidney infection and gets a much-needed boost of self-esteem. However when her health starts improving Martin fears losing her so he begins tampering with her treatment keeping Diane sick and in the hospital right next to him.
GoldenEye (1995)	Martin (I) Campbell	7.2	200922	1995	Action	352194034	58000000	130	Famke Janssen	304	F	Pierce Brosnan	752	M	Sean Bean	1070	M	Minnie Driver	1355	F	Alan Cumming	2140	M	Judi Dench	2282	F	When a deadly satellite weapon system falls into the wrong hands only Agent 007 can save the world from certain disaster. Armed with his license to kill Bond races to Russia in search of the stolen access codes for "Goldeneye" an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp an assassin who uses pleasure as her ultimate weapon.
Anastasia (1997)	Don Bluth	7.1	87841	1997	Adventure	139804348	50000000	94	Lacey Chabert	106	F	Kirsten Dunst	444	F	John Cusack	619	M	Christopher Lloyd	712	M	J.K. Simmons	810	M	Angela Lansbury	1905	F	The daughter of the last Russian Tsar Nicolas II Anastasia is found by two Russian con men Dimitri and Vladimir who seek the reward that her grandmother the Dowager Empress Marie promised to the ones who'll find her. But the evil mystic of the Tsar family Rasputin still wants the Romanov family to be destroyed forever.
Honey I Shrunk the Kids (1989)	Joe (I) Johnston	6.3	109060	1989	Adventure	222724172	18000000	93	Rick Moranis	998	M	Matt Frewer	2434	M	Frank Welker	4150	M	Jared Rushton	4399	M	Kimmy Robertson	8088	F	Marcia Strassman	8163	F	Wayne Szalinski is your average "nutty scientist" working on a top secret machine that shrinks objects. When it unexpectedly starts working he's so amazed he forgets to tell his family to be careful. And when they wander into his lab...
Drillbit Taylor (2008)	Steven (I) Brill	5.7	50787	2008	Comedy	32853640	40000000	110	Janet Varney	157	F	Kevin Hart	743	M	Owen Wilson	1404	M	Danny McBride	1939	M	Adam Baldwin	2070	M	Frank Whaley	2264	M	Homeless veteran Bob 'Drillbit' Taylor manages to enjoy life anyhow and even saves some cash for his dream an 'all-paid' move to Alaska even if that may take many years. His dream comes within reach when clever nerd Wade has fat friend Ryan 'T-dog' and cocky shrimp Jim all new to high-school are bullied so badly by emancipated Filkins and his buddies that they advertise for a bodyguard. Only Drillbit seems affordable and not crazy so he's hired and drains their pocket-money and home content. He's clueless how to protect them but gives them (bogus) self-defense classes.
Finding Nemo (2003)	Andrew (I) Stanton	8.2	709143	2003	Adventure	936743261	94000000	100	Allison Janney	862	F	Eric Bana	1463	M	Geoffrey Rush	1529	M	Willem Dafoe	1564	M	Albert Brooks	1625	M	Ellen DeGeneres	1725	F	A clown fish named Marlin lives in the Great Barrier Reef loses his son Nemo. After he ventures into the open sea despite his father's constant warnings about many of the ocean's dangers. Nemo is abducted by a boat and netted up and sent to a dentist's office in Sydney. So while Marlin ventures off to try to retrieve Nemo Marlin meets a fish named Dory a blue tang suffering from short-term memory loss. The companions travel a great distance encountering various dangerous sea creatures such as sharks anglerfish and jellyfish in order to rescue Nemo from the dentist's office which is situated by Sydney Harbor. While the two are doing this Nemo and the other sea animals in the dentist's fish tank plot a way to return to Sydney Harbor to live their lives free again.
A Cinderella Story (2004)	Mark Rosman	5.9	64140	2004	Comedy	70067909	20000000	95	Chad Michael Murray	611	M	Hilary Duff	870	F	Madeline Zima	1030	F	Jennifer Coolidge	1574	F	Simon Helberg	1620	M	Julie Gonzalo	1769	F	Samantha or "Sam" has a rough childhood with her father dying in an earthquake and a new stepmother with two awful stepdaughters. But on the bright side Sam has an awesome best friend named Carter and an email relationship with a guy named Nomad. One day Sam gets an email from her Nomad saying that he wants to meet her in the middle of the dance floor at their high school Halloween dance. She accepts the invitation and glides into the room wearing the best outfit ever! Her Nomad takes her outside where they share a romantic dance together and Sam realizes that her email friend is the most popular guy in school Austin Ames. She runs back to her stepmother's diner before she knows she went to the dance and drops her phone on the way. Austin finds it and starts a search for his Cinderella.
