title	director	rating	votes	year	genre	gross	budget	run-time	actor1	actor1_rank	actor1_sex	actor2	actor2_rank	actor2_sex	actor3	actor3_rank	actor3_sex	actor4	actor4_rank	actor4_sex	actor5	actor5_rank	actor5_sex	actor6	actor6_rank	actor6_sex	plot
Observe and Report (2009)	Jody Hill	5.8	53029	2009	Comedy	23930794	18000000	86	Anna Faris	565	F	Seth Rogen	603	M	Jesse Plemons	1608	M	Patton Oswalt	1914	M	Danny McBride	1939	M	Ray Liotta	2118	M	Ronnie Barnhardt lives with his alcoholic mother. He's chief security guard at Forest Ridge Mall where he's in love with Brandi a cosmetic sales clerk and gets a free coffee each day from Nell a cheery clerk in the food court. A flasher haunts the mall's parking lot and at night thefts occur. Ronnie is intent on catching the criminals but has no investigative skills is delusional about his abilities and makes mad accusations. His bête noire is Detective Harrison the city cop sent to investigate. Ronnie thinks he could be an officer thinks he stands a chance with Brandi and slowly loses his self control. Will reality set in? What about redemption?
On the Road (2012)	Walter Salles	6.1	33671	2012	Adventure	717753	25000000	137	Viggo Mortensen	270	M	Kirsten Dunst	444	F	Garrett Hedlund	646	M	Sam Riley	837	M	Steve Buscemi	1362	M	Alice Braga	1894	F	Shaken by the death of his father and discouraged by his stalled career writer Sal Paradise goes on a road trip hoping for inspiration. While traveling he is befriended by charismatic and fearless Dean Moriarty and Moriarty's free-spirited and seductive young wife Marylou. Traveling across the American southwest together they strive to break from conformity and and search the unknown and their decisions change the very course of their lives.
Kinsey (2004)	Bill Condon	7.1	42910	2004	Biography	10214647	11000000	118	Tim Curry	85	M	Liam Neeson	570	M	John Krasinski	628	M	David Harbour	667	M	John Lithgow	872	M	Laura Linney	986	F	Called Prok as an adult (short for Professor Kinsey) 'Alfred Kinsey (I)' (qv) has been interested in biology since he was a child growing up in the early twentieth century despite the criticisms of such being evil nonsense from his overbearing and devoutly Christian father professor Alfred Seguine Kinsey. Prok goes on to become a biology professor at Indiana University initially focusing on the study of gall wasps. But those studies in combination with questions from his students coming to terms with the needs of sex with his own wife a former student of his named Clara McMillen (who he calls Mac) and what he sees as the gross misinformation on the subject currently within popular belief makes him change his focus to human sexuality. Many of those gross untruths - as he sees them - are that oral sex and masturbation cause a slew of maladies which are perpetuated by what is presented in the university's hygiene class taught by Professor Thurman Rice. With the approval of faculty head Herman Wells Prok starts teaching his own wildly popular marriage course talking about sex in a straightforwardly academic fashion. When he sees that morals don't necessarily mirror sexual behavior he decides to conduct a massive sex survey with the assistance of students Wardell Pomeroy Clyde Martin and Paul Gebhard. He faces the issue of the funding required for the survey and public and political response to this controversial and oft seen as taboo subject. But in conducting the survey he and Mac also face the issue of their own sexuality in relationship to their marriage and the emotional and cultural aspects behind it such as the notion of love.
Coyote Ugly (2000)	David (II) McNally	5.6	91613	2000	Comedy	113916474	45000000	107	Piper Perabo	21	F	Maria Bello	312	F	Bridget Moynahan	968	F	Kaitlin Olson	1014	F	Melanie Lynskey	1123	F	John Goodman	1303	M	Sexy romantic comedy about a girl in her early 20s named Violet Sanford going to NYC to pursue a dream of becoming a songwriter. Violet gets a "day" job as a bar maid at a nightclub called Coyote Ugly. Coyote Ugly is the city's newest hot spot where the employees are a team of sexy resourceful women that provoke the clientele and press with their mischief.
The Mod Squad (1999)	Scott (I) Silver	4.2	7794	1999	Action	13260050	50000000	92	Claire Danes	477	F	Josh Brolin	856	M	Giovanni Ribisi	1903	M	Omar Epps	3336	M	Stephen Kay	3447	M	Richard Jenkins	3872	M	Three minor delinquints (Danes Ribisi and Epps) are recruited by a cop (Farina) working undercover to bust a cop/drug ring. When the officer who recruited them is killed they go above and beyond the call of duty to solve the murder; and bust the drug ring. Suffering the jibes and ridicule of fellow officers; they struggle to save their names and that of their deceased benefactor.
The Life of David Gale (2003)	Alan (I) Parker	7.5	89536	2003	Crime	16971092	50000000	130	Melissa McCarthy	241	F	Kate Winslet	492	F	Rhona Mitra	618	F	Kevin Spacey	726	M	Laura Linney	986	F	Leon Rippy	2075	M	When anti-death-penalty activist David Gale is convicted and condemned to death for the murder of a colleague reporter Bitsey Bloom sets out to learn the story behind Gale's crime. What she finds challenges her belief in Gale's guilt and finally in the justice system.
Lara Croft: Tomb Raider (2001)	Simon (I) West	5.7	159074	2001	Action	274703340	115000000	100	Angelina Jolie	210	F	Daniel Craig	314	M	Jon Voight	1538	M	Iain Glen	2507	M	Noah Taylor	4803	M	Julian Rhind-Tutt	6073	M	A member of a rich British aristocratic family Lara Croft is a "tomb raider" who enjoys collecting ancient artifacts from ruins of temples cities etc. worldwide and doesn't mind going through death-defying dangers to get them. She is skilled in hand-to-hand combat weapons training and foreign languages - and does them all in tight outfits. Well the planets of the solar system are going into planetary alignment (Which occurs every 5000 years) and a secret society called the Illuminati is seeking an ancient talisman that gives its possessor the ability to control time. However they need a certain clock/key to help them in their search and they have to find the talisman in one week or wait until the next planetary alignment to find it again. Lara happens to find that key hidden in a wall of her mansion. The Illuminati steal it and Lara gets an old letter from her deceased father telling her about the society's agenda (Her father was also the one who hid the key). Now she must retrieve the key and find and destroy the talisman before the Illuminati can get their hands on it.
Clifford (1994)	Paul (I) Flaherty	5.3	5614	1994	Comedy	7411659	19000000	90	Mary Steenburgen	1440	F	Martin Short	2793	M	Charles Grodin	4924	M	Richard Kind	5053	M	Ben Savage	5427	M	Dabney Coleman	5583	M	In this dark comedy a mischievous ten-year-old boy named Clifford is sent to his Uncle Martin's for the weekend to get out of his father's hair. It turns out he has a dying obsession to go to Dinosaur World a theme park near Martin's house and nothing will get in his way to get there.
The 5th Wave (2016)	J Blakeson	5.2	63010	2016	Action	67065200	38000000	112	Maria Bello	312	F	Maika Monroe	320	F	Liev Schreiber	879	M	Maggie Siff	1065	F	Nick Robinson	2107	M	Ron Livingston	3220	M	Four waves of increasingly deadly attacks have left most of Earth in ruin. Against a backdrop of fear and distrust Cassie is on the run desperately trying to save her younger brother. As she prepares for the inevitable and lethal fifth wave Cassie teams up with a young man who may become her final hope - if she can only trust him.
St Trinian's 2: The Legend of Fritton's Gold (2009)	Oliver (I) Parker	5.4	6420	2009	Adventure	6942986	11000000	106	Gemma Arterton	274	F	Talulah Riley	310	F	Gabriella Wilde	529	F	Juno Temple	561	F	David Tennant	643	M	Colin Firth	755	M	After wealthy philanthropist Piers Pomfrey has expressed an unusual interest in a ring found by her niece Annabelle Miss Fritton explains that she is descended from a pirate whoin 1598stole treasure from another piratePomfrey's ancestor. The location of the treasure is to be found when the ring and its double are put together. Felonious ex-pupil Kelly and Miss Fritton's former lover Geoffrey are brought in to help the school steal the second ring from the evil Pomfrey's misogynistic secret societyleading to a showdown at the Globe Theatre and an amazing revelation as to the identity of pirate captain Frittonas well as that of William Shakespeare.
Contact (1997)	Robert Zemeckis	7.4	203694	1997	Drama	171120329	90000000	150	Matthew McConaughey	62	M	Jena Malone	496	F	Jodie Foster	663	F	William Fichtner	861	M	Rob Lowe	880	M	Angela Bassett	1259	F	Astronomer Dr. Ellie Arroway has long been interested in contact to faraway lands a love fostered in her childhood by her father Ted Arroway who passed away when she was nine years old leaving her then orphaned. Her current work in monitoring for extraterrestrial life is based on that love and is in part an homage to her father. Ever since funding from the National Science Foundation (NSF) was pulled on her work which is referred to some including her NSF superior David Drumlin as more science fiction than science Ellie with a few of her rogue scientist colleagues have looked for funding from where ever they could get it to continue their work. When Ellie and her colleagues hear chatter originating from the vicinity of the star Vega Ellie feels vindicated. But that vindication is short lived when others including politicians the military religious leaders and other scientists such as Drumlin try to take over her work. When the messages received from space are decoded the project takes on a whole new dimension which strengthens for Ellie the quest for the truth. Thrown into the mix are the unknown person who has up until now funded most of Ellie's work and what his motivations are and Palmer Joss a renowned author and theologian who despite their fundamental differences in outlook is mutually attracted to Ellie that attraction based in part on intellect and their common goal of wanting to know the truth.
Spice World (1997)	Bob (I) Spiers	3.3	28575	1997	Comedy	56042592	25000000	93	Richard O'Brien	645	M	Hugh Laurie	888	M	Dominic West	1314	M	Alan Cumming	2140	M	Roger Moore	2319	M	Stephen Fry	2382	M	Climb aboard the double decker Spice Bus and get ready for a madcap musical adventure with the sexy phenomenons of pop - the Spice Girls. An encounter with extra-terrestrials a night in a haunted castle and a moment of truth in a maternity ward are just a few of the escapades the endeavored upon as the Girls gear up for their first live concert at London's Royal Albert Hall.
Think Like a Man Too (2014)	Tim (I) Story	5.7	15664	2014	Comedy	70181428	24000000	106	Gabrielle Union	568	F	Wendi McLendon-Covey	702	F	Kevin Hart	743	M	David Walton	1436	M	Michael Ealy	1471	M	Adam Brody	1532	M	In the highly anticipated sequel which was inspired by Steve Harvey's best-selling book Act Like a Lady Think Like a Man all the couples are back for a wedding in Las Vegas. But plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event.
The Wicker Man (2006)	Neil LaBute	3.7	54063	2006	Horror	24413467	40000000	102	James Franco	192	M	Nicolas Cage	203	M	Aaron Eckhart	1046	M	Leelee Sobieski	1426	F	Frances Conroy	1627	F	Ellen Burstyn	1721	F	While recovering from a tragic accident on the road the patrolman Edward Malus receives a letter from his former fiancée Willow who left him years ago without any explanation telling that her daughter Rowan is missing. Edward travels to the private island of Summerisle where Willow lives in an odd community that plant fruits and she reveals that Rowan is actually their daughter. Along his investigation with the hostile and unhelpful dwellers Edward discloses that the locals are pagans practicing old rituals to improve their harvest and Rowan is probably alive and being prepared to be sacrificed. When he locates the girl he finds also the dark truth about the wicker man.
Liar Liar (1997)	Tom Shadyac	6.8	224272	1997	Comedy	302710615	45000000	86	Jim Carrey	406	M	Sara Paxton	773	F	Jennifer Tilly	840	F	Cary Elwes	1002	M	Maura Tierney	1496	F	Krista Allen	1664	F	Fletcher Reede a fast talking attorney habitual liar and divorced father is an incredibly successful lawyer who has built his career by lying. He has a habit of giving precedence to his job and always breaking promises to be with his young son Max but Fletcher lets Max down once too often for missing his own son's birthday party. But until then at 8:15 Max has decided to make an honest man out of him as he wishes for one whole day his dad couldn't tell a lie. When the wish comes true all Fletcher can do is tell the truth and cannot tell one lie. Uh-oh for Fletcher!
Mannequin (1987)	Michael (I) Gottlieb	5.7	23349	1987	Comedy	42721196	6000000	90	James Spader	405	M	Kim Cattrall	1179	F	Andrew McCarthy	1508	M	G.W. Bailey	5798	M	Estelle Getty	6049	F	Meshach Taylor	7338	M	Jonathan Switcher is a young artist. He just doesn't seem to last in any job he does. But when he builds a mannequin he makes it so perfect he falls in love with it. It is the first thing he has made that makes him feel like a real artist. The mannequin ends up in the window of a big department store. When he saves the life of an old lady who happens to be the owner of that store he is rewarded by getting a job at the store as stock boy. Later the mannequin comes to life as Emmy who was an ancient Egyptian living in the year 2514BC. The two redesign the window display to make it most eye catching in town. The store competitors are not happy and will do anything to stop them!
Lord of War (2005)	Andrew Niccol	7.6	251061	2005	Crime	72617068	50000000	122	Jared Leto	98	M	Nicolas Cage	203	M	Ethan Hawke	577	M	Bridget Moynahan	968	F	Donald Sutherland	1842	M	Ian Holm	4786	M	This film charts the rise and fall of Yuri Orlov from his early days in the early 1980s in Little Odessa selling guns to mobsters in his local neighbourhood through to his ascension through the decade of excess and indulgence into the early 90s where he forms a business partnership with an African warlord and his psychotic son. The film also charts his relationship through the years with his younger brother his marriage to a famous model his relentless pursuit by a determined federal agent and his inner demons that sway between his drive for success and the immorality of what he does.
