title,director,rating,votes,year,genre,gross,budget,run-time,actor1,actor1_rank,actor1_sex,actor2,actor2_rank,actor2_sex,actor3,actor3_rank,actor3_sex,actor4,actor4_rank,actor4_sex,actor5,actor5_rank,actor5_sex,actor6,actor6_rank,actor6_sex
The Big Short (2015),Adam (I) McKay,7.8,206213,2015,Biography,133346506,28000000,130,Margot Robbie,4,F,Tom Cruise,49,M,Karen Gillan,80,F,Brad Pitt,91,M,Ryan Gosling,212,M,Christian Bale,247,M
The Covenant (2006),Renny Harlin,5.3,39925,2006,Action,32347239,20000000,97,Sebastian Stan,355,M,Taylor Kitsch,843,M,Chace Crawford,2363,M,Steven Strait,2506,M,Laura Ramsey,2937,F,Stephen McHattie,5236,M
Sex and the City 2 (2010),Michael Patrick King,4.3,60414,2010,Comedy,294680778,100000000,146,Alice Eve,102,F,Sarah Jessica Parker,196,F,Megan Boone,839,F,Miley Cyrus,1143,F,Kim Cattrall,1179,F,Chris Noth,3070,M
Like Minds (2006),Gregory Read,6.4,3822,2006,Crime,34840,8000000,110,Eddie Redmayne,64,M,Toni Collette,213,F,Kate Maberly,2035,F,Richard Roxburgh,3047,M,Tom Sturridge,4438,M,David Threlfall,8768,M
Penguins of Madagascar (2014),Eric (I) Darnell,6.7,61581,2014,Adventure,373543611,132000000,92,Benedict Cumberbatch,6,M,Werner Herzog,951,M,Peter Stormare,1137,M,John Malkovich,1861,M,Annet Mahendru,2762,F,Ken Jeong,3842,M
The Adventures of Baron Munchausen (1988),Terry Gilliam,7.2,41984,1988,Adventure,8083123,46630000,126,Robin Williams,795,M,Uma Thurman,822,F,Terry Gilliam,3000,M,Jonathan Pryce,3232,M,Oliver Reed,3598,M,Eric Idle,6408,M
An Unfinished Life (2005),Lasse Hallström,7,24341,2005,Drama,17995770,30000000,108,Morgan Freeman,932,M,Damian Lewis,1197,M,Robert Redford,1217,M,Josh Lucas,1968,M,Camryn Manheim,7440,F,Lynda Boyd,7640,F
True Identity (1991),Charles (II) Lane,5.1,973,1991,Comedy,4693236,15000000,93,James Earl Jones,2020,M,Michael Jai White,2911,M,Peggy Lipton,2959,F,Frank Langella,3281,M,Michael McKean,3815,M,R. Lee Ermey,3931,M
A Perfect World (1993),Clint Eastwood,7.5,58426,1993,Crime,135200000,30000000,125,Clint Eastwood,267,M,Kevin Costner,716,M,Laura Dern,2133,F,Bradley Whitford,2483,M,Ray McKinnon,3768,M,Bruce McGill,4308,M
Margin Call (2011),J.C. Chandor,7.1,94047,2011,Biography,19504039,3500000,107,Grace Gummer,389,F,Penn Badgley,605,M,Zachary Quinto,647,M,Kevin Spacey,726,M,Demi Moore,846,F,Paul Bettany,1051,M
Panic Room (2002),David Fincher,6.8,209084,2002,Crime,196397415,48000000,113,Jared Leto,98,M,Nicole Kidman,415,F,Jodie Foster,663,F,Dwight Yoakam,1382,M,Forest Whitaker,1800,M,Paul Schulze,8150,M
