title,director,rating,votes,year,genre,gross,budget,run-time,actor1,actor1_rank,actor1_sex,actor2,actor2_rank,actor2_sex,actor3,actor3_rank,actor3_sex,actor4,actor4_rank,actor4_sex,actor5,actor5_rank,actor5_sex,actor6,actor6_rank,actor6_sex
Madagascar (2005),Eric (I) Darnell,6.9,272232,2005,Adventure,532680671,75000000,86,David Schwimmer,263,M,Sacha Baron Cohen,678,M,Jada Pinkett Smith,827,F,Ben Stiller,963,M,Chris Rock,4182,M,John DiMaggio,4251,M
Jane Austen's Mafia! (1998),Jim Abrahams,5.5,12654,1998,Comedy,30182538,10000000,87,Marisol Nichols,337,F,Christina Applegate,799,F,Billy Burke,1767,M,Deep Roy,2253,M,Frank Welker,4150,M,Sofia Milos,5886,F
Finding Neverland (2004),Marc (I) Forster,7.8,176051,2004,Biography,116766556,25000000,101,Johnny Depp,28,M,Kate Winslet,492,F,Freddie Highmore,987,M,Tobias Menzies,1551,M,Radha Mitchell,1638,F,Dustin Hoffman,1854,M
Mean Creek (2004),Jacob (V) Estes,7.3,26761,2004,Crime,603951,500000,90,Rory Culkin,1856,M,Josh Peck,2459,M,Trevor Morgan,3675,M,Scott Mechlowicz,5870,M,Ryan Kelley,6163,M,Carly Schroeder,6790,F
Urban Legends: Final Cut (2000),John Ottman,4.1,13234,2000,Horror,38574362,14000000,97,Anson Mount,915,M,Eva Mendes,1211,F,Jacinda Barrett,1497,F,Rebecca Gayheart,2268,F,Joey Lawrence,2332,M,Matthew Davis,3283,M
No Strings Attached (2011/I),Ivan Reitman,6.2,171467,2011,Comedy,149228077,25000000,108,Natalie Portman,138,F,Olivia Thirlby,366,F,Ashton Kutcher,718,M,Ophelia Lovibond,981,F,Cary Elwes,1002,M,Lake Bell,1138,F
25th Hour (2002),Spike Lee,7.7,151233,2002,Drama,13060843,15000000,108,Rosario Dawson,354,F,Edward Norton,664,M,Anna Paquin,836,F,Vanessa Ferlito,1301,F,Philip Seymour Hoffman,1655,M,Brian Cox,2210,M
Finding Dory (2016),Angus MacLane,7.6,84473,2016,Adventure,887113060,200000000,97,Idris Elba,104,M,Sigourney Weaver,580,F,Allison Janney,862,F,Kaitlin Olson,1014,F,Dominic West,1314,M,Bill Hader,1357,M
Hot Shots! Part Deux (1993),Jim Abrahams,6.6,68134,1993,Action,133752825,25000000,86,Charlie Sheen,995,M,Martin Sheen,2379,M,Rowan Atkinson,2443,M,Valeria Golino,3275,F,Miguel Ferrer,3830,M,Richard Crenna,5997,M
Paul Blart: Mall Cop 2 (2015),Andy Fickman,4.4,24179,2015,Action,107588225,30000000,94,Lauren Ash,671,F,Kevin James,965,M,Neal McDonough,1581,M,Ana Gasteyer,2069,F,D.B. Woodside,2318,M,Lorenzo James Henrie,3097,M
Good Night and Good Luck. (2005),George Clooney,7.5,84690,2005,Biography,31501218,7500000,93,Robert Downey Jr.,290,M,George Clooney,682,M,Robert Knepper,1502,M,Matt Ross,1577,M,Simon Helberg,1620,M,Jeff Daniels,2776,M
Bill & Ted's Bogus Journey (1991),Peter (I) Hewitt,6.2,50358,1991,Adventure,38037513,20000000,93,Keanu Reeves,169,M,William Shatner,1981,M,Pam Grier,2325,F,Alex Winter,2853,M,William Sadler,3966,M,Frank Welker,4150,M
Needle (2010),John V. Soto,5,2347,2010,Horror,259185,3000000,90,Travis Fimmel,97,M,Ben Mendelsohn,1077,M,Nathaniel Buzolic,2367,M,Jessica Marais,4217,F,John Jarratt,7408,M,Jane Badler,7781,F
Dolphin Tale (2011),Charles Martin Smith,6.9,18181,2011,Drama,95404397,37000000,113,Morgan Freeman,932,M,Ashley Judd,1017,F,Juliana Harkavy,1630,F,Harry Connick Jr.,2460,M,Kris Kristofferson,3617,M,Ray McKinnon,3768,M
Night at the Museum: Battle of the Smithsonian (2009),Shawn (I) Levy,5.9,132862,2009,Adventure,413106170,150000000,105,Jon Bernthal,153,M,Rami Malek,309,M,Jonah Hill,665,M,Robin Williams,795,M,Ben Stiller,963,M,Bill Hader,1357,M
Ted 2 (2015),Seth MacFarlane,6.4,123553,2015,Comedy,215863606,68000000,125,Mark Wahlberg,398,M,Amanda Seyfried,470,F,Liam Neeson,570,M,Morgan Freeman,932,M,Patrick Stewart,1165,M,Taran Killam,1395,M
Imaginary Heroes (2004),Dan (II) Harris,7.3,8753,2004,Comedy,228524,4000000,111,Sigourney Weaver,580,F,Emile Hirsch,1549,M,Jeff Daniels,2776,M,Ari Graynor,4374,F,Kip Pardue,5777,M,Larry Fessenden,6787,M
Chasing Mavericks (2012),Michael Apted,7.2,25524,2012,Biography,6002756,20000000,116,Abigail Spencer,67,F,Gerard Butler,391,M,Scott Eastwood,494,M,Elisabeth Shue,635,F,Leven Rambin,2512,F,Jonny Weston,4949,M
Going the Distance (2010),Nanette Burstein,6.3,50961,2010,Comedy,17804299,32000000,102,Christina Applegate,799,F,Leighton Meester,834,F,Jason Sudeikis,1194,M,Kristen Schaal,1253,F,Justin Long,1447,M,Kelli Garner,2205,F
Police Academy 6: City Under Siege (1989),Peter Bonerz,4.1,22258,1989,Comedy,11567217,12000000,84,Allison Mack,2477,F,Dean Norris,2629,M,Kenneth Mars,2857,M,Leslie Easterbrook,3896,F,G.W. Bailey,5798,M,Matt McCoy,9197,M
Bounce (2000),Don Roos,5.7,17704,2000,Drama,36779296,35000000,106,Ben Affleck,81,M,Jennifer Grey,1011,F,Johnny Galecki,1090,M,Gwyneth Paltrow,1150,F,Natasha Henstridge,1271,F,Tony Goldwyn,1703,M
Captain America: The Winter Soldier (2014),Anthony (II) Russo,7.8,510285,2014,Action,714766572,170000000,136,Cobie Smulders,41,F,Hayley Atwell,65,F,Scarlett Johansson,89,F,Aaron Taylor-Johnson,167,M,Chris Evans,237,M,Sebastian Stan,355,M
The Gift (2000),Sam Raimi,6.7,52746,2000,Drama,44567606,10000000,111,Keanu Reeves,169,M,Cate Blanchett,480,F,J.K. Simmons,810,M,Danny Elfman,1006,M,Hilary Swank,1642,F,Giovanni Ribisi,1903,M
The Perks of Being a Wallflower (2012),Stephen Chbosky,8,358901,2012,Drama,17738570,13000000,102,Nina Dobrev,44,F,Ezra Miller,225,M,Mae Whitman,411,F,Logan Lerman,516,M,Joan Cusack,519,F,Paul Rudd,579,M
(500) Days of Summer (2009),Marc (I) Webb,7.7,382877,2009,Comedy,60722734,7500000,95,Joseph Gordon-Levitt,342,M,Zooey Deschanel,372,F,Matthew Gray Gubler,1029,M,Minka Kelly,1299,F,Rachel Boston,2544,F,Clark Gregg,2956,M
Salvation Boulevard (2011),George (I) Ratliff,5.3,3825,2011,Action,27445,9000000,96,Jennifer Connelly,229,F,Ed Harris,256,M,Marisa Tomei,734,F,Pierce Brosnan,752,M,Isabelle Fuhrman,958,F,Greg Kinnear,3244,M
Wrong Turn (2003/I),Rob (I) Schmidt,6.1,88968,2003,Horror,8922208,12600000,84,Eliza Dushku,443,F,Emmanuelle Chriqui,560,F,Lindy Booth,1099,F,Desmond Harrington,1435,M,Kevin Zegers,1501,M,Jeremy Sisto,2373,M
The Sweeney (2012),Nick (I) Love,6.1,16616,2012,Action,26345,3000000,112,Hayley Atwell,65,F,Ed Skrein,900,M,Damian Lewis,1197,M,Paul Anderson,1979,M,Allen Leech,3401,M,Ray Winstone,4132,M
Dazed and Confused (1993),Richard Linklater,7.7,123558,1993,Comedy,7993039,6900000,102,Matthew McConaughey,62,M,Ben Affleck,81,M,Milla Jovovich,251,F,Parker Posey,796,F,Joey Lauren Adams,1760,F,Rory Cochrane,1844,M
The Silence of the Lambs (1991),Jonathan Demme,8.6,907352,1991,Crime,272742922,19000000,138,Anthony Hopkins,266,M,Jodie Foster,663,F,Ted Levine,1456,M,George A. Romero,2669,M,Scott Glenn,2681,M,Frankie Faison,4024,M
Total Recall (2012/I),Len (I) Wiseman,6.3,204833,2012,Action,198467168,125000000,130,Kate Beckinsale,112,F,Bryan Cranston,182,M,Colin Farrell,427,M,Ethan Hawke,577,M,Bill Nighy,1586,M,John Cho,1980,M
Extreme Ops (2002),Christian (I) Duguay,4.5,4852,2002,Action,4835968,40000000,94,Devon Sawa,408,M,Rufus Sewell,617,M,Bridgette Wilson-Sampras,2257,F,Rupert Graves,5041,M,Joe Absolom,6744,M,Jana Pallaske,8091,F
The Ugly Truth (2009),Robert Luketic,6.5,166472,2009,Comedy,205298907,38000000,96,Gerard Butler,391,M,Katherine Heigl,615,F,Eric Winter,2170,M,Bonnie Somerville,2505,F,Cheryl Hines,2572,F,Bree Turner,2832,F
Dad (1989),Gary David Goldberg,6.2,3678,1989,Comedy,19738015,19000000,117,Ethan Hawke,577,M,Kevin Spacey,726,M,Ted Danson,2538,M,Jack Lemmon,4057,M,Sprague Grayden,4136,F,Olympia Dukakis,6778,F
Tapeheads (1988),Bill (I) Fishman,5.8,3265,1988,Comedy,343786,10000000,93,John Cusack,619,M,Tim Robbins,1970,M,Xander Berkeley,2484,M,Bobcat Goldthwait,2814,M,Courtney Love,4164,F,Clu Gulager,5074,M
Striptease (1996),Andrew (I) Bergman,4.3,35289,1996,Comedy,113309743,40000000,117,Demi Moore,846,F,Robert Patrick,1294,M,Burt Reynolds,1809,M,Rumer Willis,2995,F,Ving Rhames,3139,M,Siobhan Fallon Hogan,3663,F
Just Visiting (2001),Jean-Marie Poiré,5.8,15352,2001,Comedy,4777007,35000000,84,Christina Applegate,799,F,Tara Reid,971,F,Malcolm McDowell,1548,M,Matt Ross,1577,M,Jean Reno,2214,M,Bridgette Wilson-Sampras,2257,F
Creed (2015),Ryan (I) Coogler,7.7,157153,2015,Drama,173567581,35000000,133,Sylvester Stallone,224,M,Tessa Thompson,735,F,Liev Schreiber,879,M,Michael B. Jordan,1437,M,Maria Breyman,2532,F,Graham McTavish,2622,M
The Mirror Has Two Faces (1996),Barbra Streisand,6.5,11600,1996,Comedy,73052428,42000000,122,Pierce Brosnan,752,M,Jeff Bridges,1089,M,Eli Roth,1413,M,Barbra Streisand,2166,F,Lauren Bacall,2806,F,Elle Macpherson,4813,F
I Know Who Killed Me (2007),Chris Sivertson,3.6,23254,2007,Crime,9620399,12000000,105,Lindsay Lohan,508,F,Neal McDonough,1581,M,Julia Ormond,1609,F,Bonnie Aarons,2271,F,Garcelle Beauvais,4692,F,Brian Geraghty,6068,M
Raising Cain (1992),Brian De Palma,6,10181,1992,Crime,37170057,12000000,91,John Lithgow,872,M,Steven Bauer,1730,M,Gregg Henry,5110,M,Lolita Davidovich,6014,F,Gabrielle Carteris,6345,F,Frances Sternhagen,9476,F
Parental Guidance (2012),Andy Fickman,6.1,21375,2012,Comedy,119772232,25000000,105,Bailee Madison,56,F,Bette Midler,315,F,Marisa Tomei,734,F,Madison Lintz,1650,F,Billy Crystal,2965,M,Christine Lakin,3551,F
Waiting for Forever (2010),James Keach,6,18093,2010,Drama,25517,5000000,95,Jaime King,564,F,Rachel Bilson,1173,F,Matthew Davis,3283,M,Blythe Danner,3335,F,Richard Jenkins,3872,M,Tom Sturridge,4438,M
Personal Velocity: Three Portraits (2002),Rebecca (I) Miller,6.6,3178,2002,Drama,765540,125000,86,Fairuza Balk,418,F,Parker Posey,796,F,Kyra Sedgwick,2466,F,Wallace Shawn,3050,M,Susan Blommaert,3324,F,David Patrick Kelly,3494,M
Foxcatcher (2014),Bennett (I) Miller,7,109036,2014,Biography,19033082,24000000,134,Channing Tatum,534,M,Mark Ruffalo,817,M,Sienna Miller,838,F,Steve Carell,1072,M,Anthony Michael Hall,1612,M,Vanessa Redgrave,3130,F
Someone to Watch Over Me (1987),Ridley Scott,6.1,7358,1987,Crime,10278549,17000000,106,Lorraine Bracco,1704,F,Tom Berenger,1966,M,John Corbett,3540,M,Jerry Orbach,5945,M,Mark Moses,7719,M,John Rubinstein,8518,M
Halloween H20: 20 Years Later (1998),Steve (I) Miner,5.7,49901,1998,Horror,55041738,17000000,86,Jamie Lee Curtis,105,F,Joseph Gordon-Levitt,342,M,Josh Hartnett,602,M,Jodi Lyn O'Keefe,729,F,Janet Leigh,930,F,LL Cool J,3781,M
The Rum Diary (2011),Bruce (I) Robinson,6.2,87562,2011,Comedy,13100042,45000000,120,Johnny Depp,28,M,Amber Heard,160,F,Aaron Eckhart,1046,M,Giovanni Ribisi,1903,M,Richard Jenkins,3872,M,Amaury Nolasco,4721,M
The Road to Wellville (1994),Alan (I) Parker,5.7,9835,1994,Comedy,6507514,25000000,118,Anthony Hopkins,266,M,John Cusack,619,M,Lara Flynn Boyle,1117,F,Bridget Fonda,1392,F,Matthew Broderick,1713,M,Dana Carvey,1991,M
All About Steve (2009),Phil Traill,4.8,33458,2009,Adventure,33860010,15000000,99,Katy Mixon,118,F,Sandra Bullock,396,F,Bradley Cooper,507,M,Thomas Haden Church,1103,M,DJ Qualls,1423,M,Keith David,2222,M
The Adventures of Rocky & Bullwinkle (2000),Des McAnuff,4.1,16813,2000,Adventure,26000610,76000000,92,Piper Perabo,21,F,Robert De Niro,300,M,Doug Jones,426,M,Paget Brewster,741,F,John Goodman,1303,M,Rene Russo,1332,F
Joan of Arc (1999),Luc Besson,6.4,56401,1999,Adventure,66976317,85000000,148,Milla Jovovich,251,F,Desmond Harrington,1435,M,Vincent Cassel,1505,M,Faye Dunaway,1774,F,Dustin Hoffman,1854,M,John Malkovich,1861,M
Revenge of the Nerds II: Nerds in Paradise (1987),Joe (I) Roth,4.9,10812,1987,Comedy,30063289,10000000,88,James Cromwell,1645,M,Courtney Thorne-Smith,2099,F,Anthony Edwards,2293,M,Bradley Whitford,2483,M,James Hong,3161,M,Ed Lauter,4058,M
The Rundown (2003),Peter (I) Berg,6.7,83694,2003,Action,80916492,85000000,104,Dwayne Johnson,242,M,Rosario Dawson,354,F,Arnold Schwarzenegger,382,M,Christopher Walken,1128,M,Ewen Bremner,1405,M,Seann William Scott,1572,M
Skin Trade (2014),Ekachai Uekrongtham,5.7,5418,2014,Action,1242,9000000,96,Dolph Lundgren,136,M,Ron Perlman,693,M,Tony Jaa,2065,M,Peter Weller,2833,M,Michael Jai White,2911,M,Celina Jade,4181,F
Crank (2006),Mark Neveldine,7,199033,2006,Action,27829874,12000000,93,Jason Statham,288,M,Amy Smart,832,F,Dwight Yoakam,1382,M,Sam Witwer,1390,M,Noel Gugliemi,3682,M,Edi Gathegi,3936,M
The Pianist (2002),Roman (I) Polanski,8.5,510731,2002,Biography,120072577,35000000,150,Adrien Brody,1163,M,Thomas Kretschmann,4258,M,Emilia Fox,4339,F,Ed Stoppard,9019,M,Ronan Vibert,9181,M,Richard Ridings,9779,M
Edtv (1999),Ron (I) Howard,6.1,35934,1999,Comedy,8300000,80000000,122,Matthew McConaughey,62,M,Woody Harrelson,943,M,Ellen DeGeneres,1725,F,Clint Howard,1747,M,Michael Moore,1789,M,Jenna Elfman,1963,F
The Hobbit: An Unexpected Journey (2012),Peter (I) Jackson,7.9,646397,2012,Adventure,1021103568,180000000,182,Benedict Cumberbatch,6,M,Aidan Turner,219,M,Lee Pace,373,M,Cate Blanchett,480,F,Peter Jackson,555,M,Christopher Lee,616,M
Haunted Honeymoon (1986),Gene Wilder,5.5,5116,1986,Comedy,8033397,13000000,82,Gene Wilder,1755,M,Jonathan Pryce,3232,M,Jim Carter,5796,M,Dom DeLuise,5861,M,Peter Vaughan,7741,M,Gilda Radner,8377,F
The Truth About Charlie (2002),Jonathan Demme,4.8,8681,2002,Mystery,7093284,60000000,104,Thandie Newton,60,F,Mark Wahlberg,398,M,Ted Levine,1456,M,Tim Robbins,1970,M,Stephen Dillane,3977,M,Sakina Jaffrey,4608,F
Booty Call (1997),Jeff (I) Pollack,5.3,6391,1997,Comedy,20060051,7000000,79,Vivica A. Fox,1689,F,Jamie Foxx,2048,M,Amanda Tapping,2420,F,Art Malik,5404,M,Tamala Jones,5884,F,Bernie Mac,5888,M
Dysfunctional Friends (2012),Corey (I) Grant,5.4,695,2012,Comedy,13546,1800000,111,Meghan Markle,2,F,Meagan Good,2093,F,Stacey Dash,3104,F,Tatyana Ali,3327,F,Persia White,4184,F,Reagan Gomez-Preston,5441,F
Beyond the Sea (2004),Kevin Spacey,6.7,12930,2004,Biography,8010814,23000000,118,Kevin Spacey,726,M,Kate Bosworth,1298,F,John Goodman,1303,M,Brenda Blethyn,4634,F,Greta Scacchi,4872,F,Bob Hoskins,4938,M
Poltergeist II: The Other Side (1986),Brian (I) Gibson,5.7,19534,1986,Horror,40996665,19000000,130,Heather O'Rourke,983,F,JoBeth Williams,1823,F,Oliver Robins,2533,M,Whit Hertford,2994,M,Craig T. Nelson,3081,M,Zelda Rubinstein,3338,F
Hart's War (2002),Gregory Hoblit,6.3,44142,2002,Drama,32286000,70000000,125,Bruce Willis,377,M,Colin Farrell,427,M,Sam Worthington,849,M,Jonathan Brandis,1007,M,Rory Cochrane,1844,M,Michael Landes,2255,M
Bubble Boy (2001),Blair (II) Hayes,5.6,25820,2001,Adventure,5002310,13000000,84,Jake Gyllenhaal,73,M,Danny Trejo,851,M,Zach Galifianakis,921,M,Pablo Schreiber,1671,M,Ever Carradine,1690,F,Marley Shelton,2145,F
Imagine That (2009),Karey Kirkpatrick,5.6,10556,2009,Comedy,16088610,55000000,107,Eddie Murphy,721,M,Thomas Haden Church,1103,M,Martin Sheen,2379,M,Nicole Ari Parker,2990,F,Stephen Root,3055,M,Yara Shahidi,4168,F
The Loss of a Teardrop Diamond (2008),Jodie Markell,5.9,1836,2008,Drama,119382,6500000,102,Bryce Dallas Howard,13,F,Chris Evans,237,M,Ellen Burstyn,1721,F,Ann-Margret,1996,F,Mamie Gummer,2289,F,Susan Blommaert,3324,F
Morgan (2016),Luke (I) Scott,5.9,2985,2016,Horror,3896446,8000000,92,Anya Taylor-Joy,287,F,Boyd Holbrook,331,M,Chris Sullivan,359,M,Rose Leslie,448,F,Jennifer Jason Leigh,705,F,Paul Giamatti,2079,M
Honey I Blew Up the Kid (1992),Randal Kleiser,4.7,32604,1992,Adventure,76000000,40000000,89,Keri Russell,885,F,Rick Moranis,998,M,Bill Moseley,3671,M,Lloyd Bridges,6294,M,Kenneth Tobey,6955,M,Marcia Strassman,8163,F
Lower Learning (2008),Mark (I) Lafferty,3.9,2209,2008,Comedy,2550,2000000,97,Monica Potter,1125,F,Kiernan Shipka,1708,F,Eva Longoria,2405,F,Ed Helms,3112,M,Zachary Gordon,3325,M,Jason Biggs,3751,M
Desperado (1995),Robert (I) Rodriguez,7.2,140669,1995,Action,25625110,7000000,104,Quentin Tarantino,148,M,Salma Hayek,393,F,Danny Trejo,851,M,Steve Buscemi,1362,M,Antonio Banderas,1686,M,Cheech Marin,6494,M
The Order (2003),Brian Helgeland,5.2,15108,2003,Action,7659747,38000000,95,Heath Ledger,435,M,Shannyn Sossamon,1180,F,Peter Weller,2833,M,Mark Addy,4257,M,Rosalinda Celentano,6638,F,Richard Bremmer,9691,M
Beavis and Butt-Head Do America (1996),Mike de Seve,6.8,43454,1996,Adventure,63071133,12000000,81,Bruce Willis,377,M,Demi Moore,846,F,Cloris Leachman,1750,F,David Spade,2143,M,Richard Linklater,2743,M,Greg Kinnear,3244,M
Pete's Dragon (2016),David (IV) Lowery,7.2,9167,2016,Adventure,26834373,65000000,103,Bryce Dallas Howard,13,F,Karl Urban,478,M,Wes Bentley,558,M,Robert Redford,1217,M,Oona Laurence,1680,F,Craig Hall,9428,M
Icarus (2010/I),Dolph Lundgren,5.2,3523,2010,Action,72643,5000000,88,Dolph Lundgren,136,M,Samantha Ferris,1360,F,Monique Ganderton,4067,F,Ken Kirzinger,4930,M,Stefanie von Pfetten,7108,F,Daniel Cudmore,7471,M
Neighbors (2014/I),Nicholas Stoller,6.4,224233,2014,Comedy,268157400,18000000,97,Dave Franco,245,M,Rose Byrne,306,F,Zac Efron,324,M,Seth Rogen,603,M,Adam Devine,655,M,Christopher Mintz-Plasse,964,M
Megiddo: The Omega Code 2 (2001),Paul J. Lombardi,4.1,2271,2001,Action,6047691,22000000,104,Chad Michael Murray,611,M,Michael Biehn,1400,M,R. Lee Ermey,3931,M,Michael York,4896,M,Franco Nero,5088,M,Udo Kier,5856,M
Sister Act 2: Back in the Habit (1993),Bill (I) Duke,5.4,37072,1993,Comedy,57319029,38000000,107,Kathy Najimy,333,F,Jennifer Love Hewitt,357,F,James Coburn,2409,M,Whoopi Goldberg,2416,F,Alanna Ubach,2836,F,Wendy Makkena,4383,F
Dead Man Walking (1995),Tim (I) Robbins,7.6,74008,1995,Crime,83088295,11000000,122,Susan Sarandon,524,F,Jack Black,985,M,Sean Penn,1199,M,Peter Sarsgaard,1293,M,Clancy Brown,1683,M,Eva Amurri Martino,1709,F
The Flock (2007),Wai-Keung Lau,5.7,9812,2007,Crime,5359167,35000000,96,Claire Danes,477,F,Richard Gere,1368,M,KaDee Strickland,3004,F,Ray Wise,4505,M,French Stewart,4853,M,Avril Lavigne,5656,F
The Bronze (2015),Bryan (I) Buckley,6,4920,2015,Comedy,615654,3500000,100,Haley Lu Richardson,228,F,Sebastian Stan,355,M,Cecily Strong,2005,F,Gary Cole,3601,M,Thomas Middleditch,4318,M,Craig Kilborn,9590,M
Buried (2010),Rodrigo (I) Cortés,7,120557,2010,Drama,19152480,3000000,95,Ryan Reynolds,87,M,Samantha Mathis,1868,F,Kali Rocha,2006,F,Stephen Tobolowsky,6031,M,Erik Palladino,6717,M,Mary Birdsong,8257,F
Step Up (2006),Anne Fletcher,6.5,92416,2006,Crime,114194847,12000000,104,Channing Tatum,534,M,Jenna Dewan Tatum,550,F,Alyson Stoner,1331,F,Deirdre Lovejoy,4015,F,Isaiah Washington,4616,M,Josh Henderson,6164,M
Under Siege 2: Dark Territory (1995),Geoff (I) Murphy,5.4,36413,1995,Action,104324083,60000000,92,Katherine Heigl,615,F,Steven Seagal,871,M,Jonathan Banks,2175,M,Morris Chestnut,2834,M,Kurtwood Smith,4069,M,Peter Greene,5902,M
Ice Age: Dawn of the Dinosaurs (2009),Carlos (I) Saldanha,7,170088,2009,Action,886686817,90000000,122,Kristen Wiig,126,F,Joey King,336,F,Simon Pegg,528,M,Bill Hader,1357,M,Queen Latifah,1483,F,Seann William Scott,1572,M
The Man from U.N.C.L.E. (2015),Guy Ritchie,7.3,186356,2015,Action,109845109,75000000,116,Alicia Vikander,27,F,Henry Cavill,280,M,Elizabeth Debicki,563,F,Jared Harris,675,M,Armie Hammer,761,M,Hugh Grant,1575,M
Fool's Gold (2008/I),Andy (I) Tennant,5.7,60304,2008,Action,111231041,70000000,112,Matthew McConaughey,62,M,Kevin Hart,743,M,Ewen Bremner,1405,M,Donald Sutherland,1842,M,Todd Lasance,3243,M,Alexis Dziena,3763,F
Willow (1988),Ron (I) Howard,7.3,82030,1988,Action,57269863,35000000,126,Val Kilmer,132,M,Joanne Whalley,1576,F,Warwick Davis,1942,M,Kevin Pollak,2766,M,Kenny Baker,5451,M,Tony Cox,6450,M
Batman & Robin (1997),Joel Schumacher,3.7,192401,1997,Action,238207122,125000000,125,Arnold Schwarzenegger,382,M,Tobias Jelinek,506,M,Alicia Silverstone,552,F,George Clooney,682,M,Uma Thurman,822,F,Vivica A. Fox,1689,F
Spun (2002),Jonas Åkerlund,6.8,32579,2002,Comedy,410241,2000000,106,Mickey Rourke,627,M,Mena Suvari,778,F,Peter Stormare,1137,M,Eric Roberts,1401,M,Alexis Arquette,1660,F,John Leguizamo,1748,M
The Santa Clause (1994),John Pasquin,6.4,65596,1994,Comedy,189800000,22000000,97,David Krumholtz,595,M,Tim Allen,1846,M,Peter Boyle,2608,M,Jayne Eastwood,3160,F,Judge Reinhold,3484,M,Frank Welker,4150,M
Harry Potter and the Deathly Hallows: Part 1 (2010),David (II) Yates,7.7,335174,2010,Adventure,960283305,150000000,146,Natalia Tena,69,F,Helena Bonham Carter,180,F,Daniel Radcliffe,214,M,Tom Felton,223,M,Domhnall Gleeson,335,M,Ralph Fiennes,512,M
See Spot Run (2001),John (I) Whitesell,5.4,7491,2001,Action,33357476,35000000,94,Leslie Bibb,853,F,Michael Clarke Duncan,1632,M,Angus T. Jones,2354,M,David Arquette,2524,M,Kandyse McClure,2787,F,Anthony Anderson,3578,M
Ready to Rumble (2000),Brian (I) Robbins,5.3,11805,2000,Comedy,12372410,24000000,107,Scott Caan,2177,M,John Cena,2385,M,David Arquette,2524,M,Oliver Platt,3015,M,Joe Pantoliano,3195,M,Martin Landau,3567,M
Gamer (2009),Mark Neveldine,5.8,114632,2009,Action,40828540,50000000,95,Milo Ventimiglia,23,M,Gerard Butler,391,M,Logan Lerman,516,M,Alison Lohman,681,F,Ashley Rickards,957,F,Michael C. Hall,961,M
Resident Evil: Apocalypse (2004),Alexander Witt,6.2,153766,2004,Action,129394835,45000000,98,Milla Jovovich,251,F,Jared Harris,675,M,Sandrine Holt,869,F,Sienna Guillory,1144,F,Oded Fehr,2015,M,Iain Glen,2507,M
Restored Me (2016),Rhyan (II) LaMarr,8.8,9,2016,Drama,1316,750000,135,Steven Bauer,1730,M,Noel Gugliemi,3682,M,Beau Casper Smart,4077,M,Will Yun Lee,4362,M,Malik Yoba,5072,M,Richard T. Jones,6381,M
The Beautician and the Beast (1997),Ken Kwapis,5.3,6866,1997,Comedy,11486880,16000000,105,Fran Drescher,2153,F,Timothy Dalton,2362,M,Billy Brown,3461,M,Vincent Schiavelli,5027,M,Lisa Jakub,5297,F,Ian McNeice,9165,M
August: Osage County (2013),John (III) Wells,7.3,69109,2013,Drama,73745738,25000000,121,Benedict Cumberbatch,6,M,Ewan McGregor,141,M,Dermot Mulroney,189,M,Meryl Streep,578,F,Julianne Nicholson,1479,F,Sam Shepard,3523,M
The Fugitive (1993),Andrew (I) Davis,7.8,216547,1993,Action,368875760,44000000,130,Harrison Ford,471,M,Julianne Moore,818,F,Tommy Lee Jones,1444,M,Sela Ward,1756,F,Joe Pantoliano,3195,M,Neil Flynn,3404,M
21 Grams (2003),Alejandro G. Iñárritu,7.7,192086,2003,Drama,16248701,20000000,124,Naomi Watts,423,F,Benicio Del Toro,881,M,Sean Penn,1199,M,Charlotte Gainsbourg,1287,F,Denis O'Hare,1365,M,Clea DuVall,1880,F
Lights Out (2016/II),David F. Sandberg,6.5,42203,2016,Horror,89999818,4900000,81,Maria Bello,312,F,Alicia Vela-Bailey,1369,F,Billy Burke,1767,M,Alexander DiPersia,1901,M,Gabriel Bateman,2672,M,Emily Alyn Lind,4424,F
Life (1999/I),Ted Demme,6.7,34627,1999,Comedy,73521587,80000000,108,Eddie Murphy,721,M,Sanaa Lathan,2174,F,Martin Lawrence,2464,M,Poppy Montgomery,2662,F,Anthony Anderson,3578,M,Elvis Presley,3686,M
Almost Famous (2000),Cameron (I) Crowe,7.9,210102,2000,Adventure,47383689,60000000,152,Zooey Deschanel,372,F,Fairuza Balk,418,F,Pauley Perrette,642,F,Anna Paquin,836,F,Billy Crudup,1374,M,Jason Lee,1568,M
My Dog Skip (2000),Jay (I) Russell,7,16798,2000,Drama,34099640,6000000,95,Kevin Bacon,877,M,Clint Howard,1747,M,Luke Wilson,2184,M,Frankie Muniz,2304,M,Harry Connick Jr.,2460,M,Cody Linley,4663,M
Wayne's World 2 (1993),Stephen Surjik,6.1,63437,1993,Comedy,48197805,40000000,95,Kim Basinger,923,F,Christopher Walken,1128,M,Mike Myers,1159,M,Ed O'Neill,1412,M,Tia Carrere,1753,F,Heather Locklear,1877,F
Cats Don't Dance (1997),Mark Dindal,6.9,5669,1997,Animation,3562749,32000000,75,Kathy Najimy,333,F,John Rhys-Davies,2749,M,Scott Bakula,2903,M,Don Knotts,3374,M,Rene Auberjonois,3561,M,Frank Welker,4150,M
