name,budget_mean,gross_total,budget_total,amount_of_movies,mean_actors,gross_mean
Stuart Gillard,16000000.0,15448043,16000000,1,4089.1666666666665,15448043.0
Rodney Ascher,5426.0,259765,5426,1,606.5,259765.0
Tobe Hooper,12000000.0,4884663,12000000,1,6727.5,4884663.0
Peter Kassovitz,45000000.0,4956401,45000000,1,3453.0,4956401.0
Shane Meadows,1500000.0,327919,1500000,1,3888.8333333333335,327919.0
John Krasinski,3800000.0,706484,3800000,1,2209.5,706484.0
John Gulager,4100000.0,8548284,8200000,2,2384.6666666666665,4274142.0
Shari Springer Berman,7000000.0,453079,7000000,1,3536.1666666666665,453079.0
Clare Kilner,16000000.0,14108518,16000000,1,3206.0,14108518.0
Miguel Sapochnik,32000000.0,18409891,32000000,1,1297.0,18409891.0
Rupert Wainwright,23500000.0,118957380,47000000,2,4160.833333333333,59478690.0
John Erick Dowdle,11000000.0,94387300,22000000,2,1770.5,47193650.0
George Nolfi,50200000.0,127869379,50200000,1,1221.5,127869379.0
Bruce McCulloch,29500000.0,44602513,59000000,2,2639.5,22301256.5
Jonas Åkerlund,11000000.0,1427642,22000000,2,1592.5454545454545,713821.0
Andrew (I) Adamson,153750000.0,2568912504,615000000,4,1206.25,642228126.0
John (I) Roberts,23000000.0,27008669,23000000,1,4947.666666666667,27008669.0
Jim Kohlberg,4000000.0,258077,4000000,1,3855.0,258077.0
Mark Tarlov,6000000.0,4394936,6000000,1,2543.6666666666665,4394936.0
Ruben Fleischer,37200000.0,244646367,111600000,3,1543.2352941176471,81548789.0
John Putch,10000000.0,3333823,10000000,1,2829.1666666666665,3333823.0
Tony Bancroft,90000000.0,304320254,90000000,1,2515.3333333333335,304320254.0
Jeffrey W. Byrd,15000000.0,3998889,15000000,1,3450.8333333333335,3998889.0
Clare Kilner,16000000.0,14108518,16000000,1,3206.0,14108518.0
Miguel Sapochnik,32000000.0,18409891,32000000,1,1297.0,18409891.0
Rupert Wainwright,23500000.0,118957380,47000000,2,4160.833333333333,59478690.0
John Erick Dowdle,11000000.0,94387300,22000000,2,1770.5,47193650.0
